participant,experiment,target,task_type,n_features,n_samples,accuracy_mean,accuracy_std,r2_mean,r2_std
e3,eyes_only,session_type,classification,372,526,,,,
e3,eyes_only,excitement,regression,372,526,,,-1.2522522522522523,1.7709521186473896
e3,eyes_only,mental_demand,regression,372,526,,,-2.505317556997435,2.619457209417387
e3,eyes_only,rushed_pace,regression,372,526,,,-2.818880570188249,2.4569322659959005
e3,eyes_only,work_effort,regression,372,526,,,-2.818880570188249,2.4569322659959005
e4,nose_cheeks,session_type,classification,18,962,0.35239810488058154,0.007086479999025806,,
e4,nose_cheeks,stress_level,regression,18,962,,,-0.8139373502429573,0.15812070440002748
e4,nose_cheeks,attention,regression,18,962,,,-2.486986887595394,1.030364945940133
e4,nose_cheeks,robot_predictability,regression,18,962,,,-0.3611983958215354,0.5127804176549928
e4,nose_cheeks,excitement,regression,18,962,,,-0.9463096489517309,0.8669008239073946
e4,nose_cheeks,mental_demand,regression,18,962,,,-5.397331499331617,5.42854478543853
e4,nose_cheeks,rushed_pace,regression,18,962,,,-2.889695478395783,1.815548673026628
e4,nose_cheeks,work_effort,regression,18,962,,,-7.0199800361845135,7.006744383881184
e4,nose_cheeks,stress_annoyance,regression,18,962,,,-29.23554410897305,39.37293327390354
e4,nose_cheeks,success_level,regression,18,962,,,-0.2514076651080433,0.2908103495418117
e4,all_expression,session_type,classification,597,962,0.3877466251298027,0.008757287078840314,,
e4,all_expression,stress_level,regression,597,962,,,-0.7028036843359257,0.28085940126301406
e4,all_expression,attention,regression,597,962,,,-2.2265968609052043,1.0821272501381909
e4,all_expression,robot_predictability,regression,597,962,,,-0.372545995393748,0.5323050210712481
e4,all_expression,excitement,regression,597,962,,,-0.8757703026390136,0.8275932602916388
e4,all_expression,mental_demand,regression,597,962,,,-4.953816056395818,5.1302345706039425
e4,all_expression,rushed_pace,regression,597,962,,,-2.7706734247152256,1.5935139049195168
e4,all_expression,work_effort,regression,597,962,,,-6.683700189328962,6.6184147574404335
e4,all_expression,stress_annoyance,regression,597,962,,,-29.45445570056761,39.57977048064489
e4,all_expression,success_level,regression,597,962,,,-0.24399285961896142,0.30524959245153804
e4,mouth_only,session_type,classification,123,962,0.32014862409138106,0.024745774510835927,,
e4,mouth_only,stress_level,regression,123,962,,,-0.7790434951890575,0.16760878676351354
e4,mouth_only,attention,regression,123,962,,,-2.4660330199794966,1.3770270943963794
e4,mouth_only,robot_predictability,regression,123,962,,,-0.3824571422583132,0.5146406804652436
